,price
60222,19900
113319,155500
70182,39400
69544,28500
71819,131800
51785,43500
65314,12900
12904,30900
20285,299900
102473,61990
91548,50700
107459,20500
110448,164443
92776,174900
60895,212800
28623,214900
116858,25500
81429,9900
61247,125000
107962,15900
106028,15990
65032,26900
2918,17500
67988,71900
43569,96490
115260,66500
107635,29800
13413,34800
84541,34900
104411,24900
115316,47900
108860,49500
107552,104800
54675,58900
70029,44900
28288,49900
20879,47999
34965,483900
6012,51400
70030,74900
67436,60000
47679,37500
114602,65190
2812,33900
80058,104899
64501,48900
48033,76070
15937,30900
6647,29900
74906,31500
72300,71900
16973,189310
17372,73000
10626,116900
63938,36990
14201,4900
101287,8700
32271,239900
108430,25900
24037,111999
39764,10900
60921,126999
16147,29500
29027,99900
35190,179900
25117,10000
22141,79500
41158,86900
42352,35900
50129,43000
42644,34900
107501,14900
23934,61500
15242,8200
35851,70000
64540,61900
94244,31900
5792,52900
47530,27700
79644,27900
34948,699900
35918,12500
93727,19000
15925,30900
7645,16900
105448,16000
68319,10800
79172,50000
96864,99950
94022,36900
49639,31000
101661,75000
52752,31500
34977,583900
117075,359900
24853,21900
46568,74990
107150,38900
20754,105000
93933,57700
31969,65000
74991,169990
2261,26900
76047,37900
87641,24000
114033,43900
112721,78900
62375,39900
96298,41900
99792,70700
55893,69900
26828,27900
30709,63900
105777,4700
6955,37500
78155,68900
81201,23500
41416,82000
77118,27000
91245,20999
104289,49700
21747,130000
105232,68450
42392,20900
91528,33900
93547,81500
106697,70900
34425,441300
56962,290700
72030,16500
94209,29500
52591,31000
47876,52000
101362,8950
117525,130000
85117,17900
66975,33500
65157,28000
70718,15900
10846,47900
21512,227900
79965,89900
20539,187000
11077,3300
76726,183950
15393,74700
30170,62800
53276,69500
1678,29990
104675,164550
49316,26500
24983,22500
111869,18499
52762,34500
36380,5900
26556,20500
78805,171500
65923,18900
72169,69900
79027,57900
35116,218900
10693,63500
28127,57999
108063,6500
110739,14999
35025,184000
114800,109900
99749,69900
79513,79900
48280,17999
80141,166000
106870,3900
55976,70900
187,13000
98952,24300
41021,101799
80203,169500
64952,72111
108601,78900
96708,105900
2804,30900
43585,105900
52267,19200
71590,34500
108179,14800
47007,7900
34572,324900
87753,59900
16029,53999
11987,23000
22086,59999
10398,64999
3931,62000
15261,16900
69339,93900
52020,39700
88737,28800
9133,7900
10219,111800
34090,52999
51460,55900
18843,24999
12142,6699
19812,75900
83441,42200
108936,23900
27707,74900
105758,7800
71525,43800
35617,59900
80701,10999
53262,99777
50066,69900
60447,13900
101143,65700
17884,174900
13408,18500
100053,55900
61062,239900
93613,89700
70109,83899
75465,48900
10765,42999
53511,69900
65471,68001
59823,189900
106735,80080
56701,120000
78183,59500
100257,136700
65943,22900
18640,27700
2002,22900
57895,68000
57325,417000
17476,28900
8656,85899
39641,147600
49556,77900
74208,37800
77727,52500
48295,16500
55350,119925
54966,17500
83925,23999
13194,14300
113849,10500
46517,104000
26397,17900
90470,37700
55822,169900
14110,179427
21742,191535
106604,20002
30166,109950
83543,38900
39869,7000
6935,29900
11216,12900
103305,35900
62096,389910
41971,10350
117358,270800
92885,82410
9481,15900
21731,170330
34266,152900
72455,91200
23065,110000
66846,19900
87987,35500
114349,128500
55824,199900
117682,204999
24784,18950
112575,15900
11153,15900
1059,10900
59195,34000
114852,52700
50974,12700
79864,146800
89966,24900
71182,17999
51293,54700
21028,133900
105617,85000
25035,19800
72728,22900
37877,59990
10115,58000
56843,165000
41332,81500
73119,19900
29380,29800
116087,64999
29575,25500
41296,75900
97018,69900
65623,66800
29381,15500
72067,30555
33906,169900
13416,17500
98052,64900
77236,28500
68167,6500
22606,159900
73875,16800
112691,16900
72685,86500
38415,52900
44518,97900
21257,105900
47212,37900
63636,14900
92055,51900
83966,32900
59445,101500
108826,35900
56104,28999
82969,14900
36982,19900
110014,94650
66887,22900
43406,99400
13455,23900
110150,34900
12415,56900
63586,21900
113116,39990
111915,35600
39576,291200
104561,43900
92271,56800
19506,122900
68812,93900
28648,221035
116030,149900
81239,37900
40365,23800
81628,61000
117774,142500
64003,30900
46933,383300
33392,280900
46055,31900
54194,169000
95960,44800
2063,21700
36028,49900
80017,159900
94361,54999
76005,49500
108277,65800
19617,95000
23040,369500
79616,46400
32901,296500
44562,184590
16798,67700
8084,7990
74148,54900
44137,123900
4345,12900
98904,18900
60817,77000
100590,89900
17085,92900
67955,50000
15067,19800
73426,72900
85987,50700
37556,24500
81949,24900
12621,10999
105566,99900
26319,8700
85782,85977
59004,39500
12119,10900
71153,37600
84175,34900
21205,381800
114699,58900
14747,23999
36326,5000
95835,26600
28266,79900
84649,10900
86718,8500
111900,23900
41561,66900
99076,152400
35738,358072
47543,53900
100993,89500
39927,9700
74548,63899
87225,77469
24563,45999
18834,42400
25493,41000
89857,12900
109896,99900
25988,10900
95939,49900
26993,39900
115232,13900
66706,23900
47234,44500
77649,34990
117265,204999
67475,82000
62886,132900
53419,63900
49506,31300
20600,190000
53092,19500
28983,133900
41039,87900
47929,18800
100272,111000
